Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
PK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.67,0.0,10.42,-4.28,0.53,2.85,0.68,2.68,2.29,0.62,0.17,-2.62,0.1,1.0,0.89,0.03,-1.3,-0.16,0.23,0.01,-0.25,0.04,-2.96,0.39,-0.44,-0.85,0.38,0.08,-2.07,-0.1,-3.76,-0.34,-1.79,-2.7,-0.03,-4.48,-0.21,-3.62,0.85,-1.23,-1.42,1.18,1.46,-1.09
PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04,-0.89,0.03,0.39,-7.07,2.03,0.39,5.48,0.28,0.28,-0.14,0.06,-0.01,-0.78,0.12,0.21,0.12,-0.03,-0.28,0.11,-1.78,-0.32,0.09,-1.62,-0.18,-0.53,-0.5,-0.71,-0.9,-0.15,-0.79,-0.87,-0.51,-1.67,-0.34,-1.15,-0.56,-0.89,0.12,-1.01
PS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.17,0.75,2.73,3.87,0.0,0.0,7.37,1.65,0.39,1.95,1.05,0.4,1.78,2.38,0.45,1.2,-0.82,1.12,-6.64,-0.62,0.0,-0.48,-4.41,1.32,1.2,-1.29,3.4,0.0,-0.28,0.67,0.05,0.07
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.89,-0.29,0.36,-0.09,0.01,-0.23,0.35,-0.31,-0.25,0.14,-0.17,-0.96,0.15,-0.73,0.11,0.02,0.04,-0.14,0.12,-0.06,-0.27,-0.11,-0.05,-0.04,-0.56,-0.4,-0.12,-0.02,0.08,-0.28,-0.1,-0.09,-0.43,-0.19,-0.52,-0.22,-0.4,0.04,0.0
PY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.56,1.01,0.0,-2.85,-0.7,0.79,-0.37,0.54,0.35,0.53,0.09,0.35,-0.68,-3.29,-5.84,1.2,-0.62,-2.34,0.57,-1.73,-0.04,0.54,-2.85,1.85,0.81,-1.01,-2.59,2.74,-2.19,-2.5,-2.16
QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.18,0.18,0.09,0.0,0.03,0.0,-1.25,-3.48,-1.07,0.09,-1.2,0.15,-0.18,0.17,-0.14,0.06,0.23,-0.68,-0.54,0.83,-1.03,0.48,0.53,0.54,-0.2,-0.75,-0.59,-0.35,0.01,-0.2,-1.07,-0.54,-0.03,0.83,0.19,-0.24,0.68,0.0
RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,8.32,5.56,-22.22,13.32,0.0,8.0,-1.32,1.09,4.36,0.55,0.44,1.17,-3.0,1.39,-1.71,0.9,-6.04,-1.29,3.14,0.98,-0.03,0.0,0.46,-1.21,-1.59,0.73,-0.46,-0.53,0.03,0.88,-0.08,-0.43,-0.75,-0.52,-0.83,-1.49,-1.06,0.75,-1.03,-0.22,-1.6,-1.64,-0.67,-1.1,-1.75,-1.24,0.0
RS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.81,0.27,0.34,0.23,-0.51,0.31,-0.17,-0.26,-4.32,0.98,4.68,0.04,-1.29,-0.23,-0.29,0.26,-0.85,-0.01,0.01,-0.06,0.03,0.03,0.15,0.04,0.14,0.0,0.1,-0.01,0.1,-0.01,0.07,0.09,-9.37,-1.26,-1.26,0.0
RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,16.67,34.62,0.0,-2.27,0.0,2.65,0.0,4.29,4.03,-6.89,0.85,3.81,1.87,1.57,0.4,1.07,-0.29,-0.37,0.75,-0.77,-0.2,-0.01,0.14,0.54,-0.5,0.6,-1.82,-1.79,0.23,-0.12,-0.35,0.53,0.28,-0.21,-0.04,-0.23,0.18,-1.01,-0.54,0.18,0.0,-0.09,-0.15,0.14,-0.21,0.64,0.0
RW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.84,0.03,-2.85,0.31,0.0,0.42,-9.06,-4.84,-13.22,-3.5,-3.14,-3.76,-1.97,-2.46,-3.78,0.0
