Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.67,97.67,98.89,98.45,98.45,98.82,96.86,97.6,98.56,98.83,98.98,99.01,99.02,99.1,99.1,98.68,98.73,98.3,98.05,97.97,97.65,97.39,97.32,97.07,96.48,96.34,96.29,95.88,95.72,95.62,96.14,96.14,96.28,96.34,96.25,95.85,95.76,95.66,95.61,95.5,95.5
IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,66.67,75.0,85.71,90.0,90.0,91.67,93.33,95.0,94.59,95.35,96.72,96.72,94.67,94.94,96.0,96.83,97.42,98.12,98.17,95.6,96.38,97.42,97.35,94.8,95.7,96.45,95.48,97.34,97.18,97.0,97.21,96.54,96.23,95.45,95.62,94.55,94.04,94.0,93.76,92.79,90.97,90.71,88.99,87.72,86.58,84.48,82.99,80.76,78.46,76.8,74.76,72.71,70.9,70.37
IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,89.29,90.0,90.32,91.18,92.31,93.02,92.86,91.94,93.15,92.68,94.12,86.73,87.39,88.03,89.1,90.21,89.75,91.82,91.41,92.59,90.67,91.63,91.06,89.52,89.06,88.09,89.29,88.69,89.69,89.66,89.72,89.78,90.86,89.31,89.25,88.44,87.42,86.58,85.12,84.67,85.28,84.75,85.09,83.5,82.39,81.02,80.62,80.62
IQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.29,94.29,92.5,92.59,90.0,85.0,85.92,69.01,67.61,67.33,67.27,68.97,70.97,72.08,66.46,70.83,68.27,68.22,66.95,69.92,67.72,61.85,63.09,64.63,65.81,66.18,68.57,68.3,67.86,66.84,65.85,64.12,64.62,60.43,60.96,56.66,54.14,51.52,48.94,47.04,42.31,39.71,37.03,34.73,33.4,31.59,29.11,29.11
IR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,77.78,82.14,81.4,80.33,83.16,51.08,69.39,72.42,72.01,76.58,76.22,84.25,77.96,75.92,78.15,68.85,64.54,63.26,62.42,63.19,66.37,69.44,71.95,61.87,63.69,60.56,62.42,62.0,58.37,55.41,55.56,57.73,56.28,56.69,56.84,58.21,59.91,60.76,59.83,60.65,61.11,60.63,60.08,58.4,59.92,53.76,50.61,47.66,45.0,41.79,33.88,32.53,31.02,29.47,28.38,26.79,25.75,24.55,24.41,24.41
IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.55,98.82,99.03,99.25,99.36,92.4,100.0,99.55,97.6,98.18,98.78,95.14,93.49,93.71,91.82,92.13,89.53,88.88,87.95,86.57,85.36,82.38,81.39,78.17,77.05,71.77,70.93,70.17,64.38,60.46,57.89,54.75,49.73,47.27,45.0,42.03,37.17,33.76,29.7,26.14,26.6,26.6
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,95.16,96.77,96.51,96.58,96.69,90.53,92.45,93.35,93.09,90.13,90.45,87.6,85.43,84.47,86.03,86.6,87.06,86.65,84.98,84.98,84.68,83.9,83.25,82.46,82.72,80.39,80.88,81.98,79.66,78.86,79.51,78.11,77.33,76.95,76.78,75.77,75.63,74.24,73.38,72.87,72.06,71.26,70.83,70.76,70.3,69.38,68.33,67.45,66.59,65.85,65.39,64.96,64.18,63.83,63.1,62.03,61.26,60.49,60.49
JM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,80.0,83.33,84.62,80.0,81.25,81.25,84.21,84.21,85.71,88.46,88.46,88.46,90.0,90.62,91.67,91.67,88.64,89.36,89.36,81.13,81.03,81.03,82.54,77.78,74.6,73.02,73.85,75.36,68.49,68.49,79.2,81.82,79.02,81.6,81.5,83.67
JO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,87.5,94.12,97.06,98.08,98.55,98.82,98.82,99.11,99.21,99.35,99.42,99.53,91.91,92.28,91.89,88.43,87.23,85.25,83.28,79.68,75.54,66.67,62.18,59.21,56.42,54.84,52.42,51.71,46.53,43.22,39.04,35.91,33.83,33.17,33.17,32.13,32.13
JP,100.0,100.0,100.0,100.0,75.0,75.0,85.71,85.71,90.91,93.33,95.0,95.0,95.0,95.45,95.45,95.45,96.0,96.0,96.15,84.62,65.38,67.86,64.29,65.52,69.77,77.97,80.3,81.08,77.38,79.79,78.1,81.15,84.35,85.53,86.47,87.3,87.85,88.6,84.65,85.16,86.13,83.28,85.2,86.39,87.62,82.21,83.67,83.17,80.9,79.19,79.03,80.46,81.89,83.31,79.62,80.3,80.54,80.63,76.74,73.49,74.93,75.44,72.51,72.84,70.73,71.32,73.07,74.38,74.38,75.42,75.71,78.6,77.95,81.17,81.17,81.94,82.49,83.2,84.44,85.82,85.66,87.11,87.69,87.68,87.67,87.49,88.51,87.46,87.08,87.08
